hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
6.466932173136945,14,3,4,3.0,3.0,3.0,34,Non-Travel,Research & Development,28,3,Medical,1,3076,Male,1,Laboratory Technician,Married,56770,9.0,Y,20,8,1,6.0,3,3,1,2,No
6.976151271753611,19,3,3,3.0,1.0,3.0,28,Travel_Rarely,Sales,1,2,Life Sciences,1,1050,Male,3,Manager,Married,44770,1.0,Y,15,8,0,3.0,6,3,1,2,No
6.076227130745,13,2,3,4.0,3.0,3.0,24,Travel_Rarely,Sales,6,2,Medical,1,3905,Female,2,Manager,Married,20070,1.0,Y,12,8,0,1.0,2,1,0,0,Yes
7.426887550200555,5,2,3,3.0,2.0,3.0,38,Travel_Rarely,Research & Development,2,3,Medical,1,3795,Female,3,Sales Executive,Married,49080,4.0,Y,19,8,1,7.0,3,5,1,4,Yes
5.783248549754444,14,2,3,3.0,4.0,3.0,26,Travel_Rarely,Sales,8,3,Marketing,1,3992,Female,1,Healthcare Representative,Single,30330,1.0,Y,12,8,0,5.0,2,5,1,2,No
7.767505577866944,19,3,3,3.0,2.0,3.0,39,Travel_Rarely,Sales,29,1,Marketing,1,3620,Female,1,Laboratory Technician,Divorced,54600,6.0,Y,13,8,2,21.0,3,19,15,2,No
7.417694109772222,4,3,3,4.0,1.0,3.0,30,Travel_Rarely,Sales,3,3,Life Sciences,1,756,Male,3,Sales Executive,Divorced,51210,7.0,Y,13,8,0,8.0,4,3,0,2,No
6.297728692547778,6,4,3,3.0,2.0,3.0,40,Travel_Frequently,Research & Development,10,4,Medical,1,325,Male,2,Manufacturing Director,Married,65670,1.0,Y,13,8,1,8.0,3,8,3,7,No
5.497565818830833,20,2,4,1.0,2.0,2.0,50,Travel_Rarely,Sales,8,4,Life Sciences,1,2962,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,No
9.030577867023611,12,2,3,3.0,4.0,3.0,33,Non-Travel,Research & Development,18,2,Medical,1,941,Female,2,Healthcare Representative,Divorced,63850,1.0,Y,13,8,0,7.0,6,6,1,2,No
10.175152833556389,3,3,3,4.0,3.0,3.0,34,Travel_Rarely,Human Resources,2,3,Human Resources,1,3767,Male,2,Manufacturing Director,Married,28180,1.0,Y,13,8,1,10.0,2,10,8,6,No
9.0981938866575,15,1,3,1.0,1.0,3.0,35,Travel_Rarely,Research & Development,2,3,Medical,1,2323,Female,1,Research Scientist,Divorced,25320,1.0,Y,13,8,0,1.0,2,1,0,0,Yes
5.866442436412222,12,3,3,1.0,1.0,1.0,60,Travel_Rarely,Research & Development,10,3,Life Sciences,1,1624,Female,1,Manufacturing Director,Married,22690,5.0,Y,18,8,1,33.0,4,29,11,10,No
6.434057340472778,21,3,3,3.0,3.0,3.0,34,Travel_Frequently,Sales,24,4,Marketing,1,2842,Male,2,Manufacturing Director,Married,164130,6.0,Y,16,8,0,6.0,1,4,1,2,No
6.8104194556,10,3,3,3.0,4.0,2.0,56,Travel_Rarely,Research & Development,2,4,Medical,1,1765,Male,1,Manager,Married,20420,7.0,Y,12,8,0,30.0,6,10,1,1,No
7.348496207050278,21,3,3,4.0,1.0,2.0,23,Travel_Frequently,Research & Development,2,4,Life Sciences,1,1181,Female,2,Manufacturing Director,Married,61790,1.0,Y,11,8,0,1.0,3,1,1,0,Yes
7.877561356537222,4,3,3,4.0,1.0,3.0,32,Travel_Rarely,Research & Development,10,1,Medical,1,5,Male,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,6,0,4,No
